A=5083 B=5388 C=5715 X=197127975 Y=6937747504 Z=10436823171 M=4593
A=8297 B=4676 C=7824 X=594913010 Y=8781183870 Z=32094187722 M=6339
A=8125 B=6629 C=5644 X=326552800 Y=3462875057 Z=91219716424 M=7553
A=2785 B=3567 C=6453 X=200660832 Y=1185706947 Z=35149020095 M=2428
A=8598 B=9296 C=6446 X=504291393 Y=6702488355 Z=77113417113 M=9691
A=6535 B=3581 C=9867 X=579034060 Y=7277297860 Z=34378695741 M=1466
A=8835 B=4315 C=8536 X=355682713 Y=1027660331 Z=89943170320 M=8417
A=8247 B=4661 C=6716 X=423157101 Y=3970744073 Z=83017477757 M=3627
A=6969 B=7721 C=6637 X=705135778 Y=9194316349 Z=11715859902 M=1177
A=9880 B=9834 C=6661 X=788081648 Y=9801725114 Z=88587838346 M=1157
A=4917 B=4973 C=6192 X=770418749 Y=5665226426 Z=36556497860 M=7978
A=7307 B=8965 C=9033 X=287697619 Y=7259895089 Z=30764222102 M=7722
A=9783 B=8972 C=8518 X=454320231 Y=1300197865 Z=54968150615 M=1925
A=7427 B=7097 C=5454 X=340507564 Y=7680611584 Z=24899984712 M=2740
A=2074 B=4495 C=8486 X=117057929 Y=7033961988 Z=14865891926 M=6933
A=6772 B=5092 C=5926 X=121208311 Y=1839917992 Z=80584116052 M=9232
A=4907 B=4691 C=8232 X=992479683 Y=2791089482 Z=22070150625 M=4826
A=8260 B=6380 C=5112 X=495453700 Y=8169669233 Z=42748640732 M=5336
A=3808 B=9897 C=7257 X=350622095 Y=8667871462 Z=23355563307 M=2931
A=2992 B=3438 C=6859 X=374144278 Y=3864395679 Z=39172354240 M=8615
A=2447 B=4670 C=6624 X=765496857 Y=9650936321 Z=41348653758 M=6897
A=2769 B=8967 C=5083 X=882597405 Y=1619931739 Z=69531366104 M=9038
A=6876 B=9159 C=6508 X=327775465 Y=2408614626 Z=73758856991 M=8496
A=5236 B=5967 C=7558 X=368351446 Y=5065231046 Z=52499648233 M=4880
A=9482 B=6838 C=9692 X=633963720 Y=7456384990 Z=60237015346 M=9603
A=5065 B=3555 C=9724 X=484460756 Y=3982933645 Z=86377280925 M=1147
A=5221 B=4804 C=7713 X=404720211 Y=6130265631 Z=15575134332 M=7319
A=8623 B=9521 C=8692 X=640858954 Y=8283106272 Z=46292765001 M=6822
A=3180 B=7332 C=7908 X=656635550 Y=7810086895 Z=13201316161 M=4768
A=9549 B=9326 C=6728 X=315798704 Y=8713105545 Z=20493996358 M=9507
A=3747 B=4421 C=5757 X=275222897 Y=5757845922 Z=45043851612 M=8498
A=6918 B=4638 C=9224 X=858295601 Y=4796530127 Z=97902178547 M=7030
A=9298 B=4808 C=9472 X=167656950 Y=8049180770 Z=49979871334 M=4621
A=5479 B=5553 C=8529 X=757125462 Y=1294698679 Z=57665572500 M=9780
A=7851 B=6988 C=7433 X=955661375 Y=9582261586 Z=62398176589 M=9660
A=9798 B=4926 C=7543 X=705058752 Y=2885544714 Z=48713913948 M=7257
A=6660 B=6023 C=8582 X=926454066 Y=3190335644 Z=38108379484 M=9210
A=2261 B=6933 C=5692 X=808629100 Y=7235643899 Z=70415119822 M=9845
A=2085 B=8541 C=5741 X=857401248 Y=6574532540 Z=17128835123 M=4753
A=4950 B=5720 C=5959 X=196426324 Y=8454888616 Z=74294783404 M=7751
A=6919 B=3570 C=5370 X=541020125 Y=4530012686 Z=76045434230 M=9565
A=5566 B=6971 C=8428 X=395371659 Y=4711796362 Z=69392904074 M=4635
A=8508 B=5969 C=8939 X=623580355 Y=6431671241 Z=96527243691 M=1818
A=7550 B=6782 C=5458 X=746019488 Y=3421020810 Z=43586362619 M=9271
A=5422 B=7755 C=7663 X=336824062 Y=2796509722 Z=87106203191 M=9950
