5753:rRrRRR gGGGgg bBbBBb
2266:RrrrRr GgGggG bBbBBB
5991:RrRrrr GgGGGG BBBBbB
6839:RrRrrR GGGgGG BBbbbb
2680:rRrRRr gGGGGg bBBBBb
4289:rrrRrR GGGgGG bBbbbB
1044:rrRrRr GgGGgG bbbBBB
5998:RrRRRr GgggGg bbbBbb
1552:RRrRRr GgGggG BBbBBb
9443:rRRrrR ggGGGG bbBbbB
5165:rrrrRr GggGGg bbBbbB
3791:rrrrRr GGGgGG bbBbBB
6307:RrRrrr gGgggg BBbBbB
1938:rrRRRR gGggGg bbbbBB
9817:rRrRrR GggGGg bBBBbb
2138:RrrRRr GGgGgg bbBbBb
2911:RRRRRR GgGGGg BBBBBB
8620:RrrRRR GgGGgg BbbbBb
7578:RRRRRR GGGGGG BBBBBB
5896:rrrrrr gggggg bbbbbb
