id=1, plug=BLUE TRIANGLE, leftSocket=RED PENTAGON, rightSocket=WHITE CIRCLE, data=---------------------
id=2, plug=WHITE CIRCLE, leftSocket=BLUE CIRCLE, rightSocket=WHITE PENTAGON, data=---------3-----------
id=3, plug=WHITE PENTAGON, leftSocket=RED TRIANGLE, rightSocket=GREEN PENTAGON, data=------------3--------
id=4, plug=RED TRIANGLE, leftSocket=RED HEXAGON, rightSocket=GREEN CIRCLE, data=--------3------------
id=5, plug=GREEN CIRCLE, leftSocket=WHITE SQUARE, rightSocket=BLUE CIRCLE, data=-------------3-------
id=6, plug=WHITE SQUARE, leftSocket=RED SQUARE, rightSocket=BLUE SQUARE, data=---------------------
id=7, plug=GREEN PENTAGON, leftSocket=WHITE TRIANGLE, rightSocket=BLUE TRIANGLE, data=------------3--------
id=8, plug=RED PENTAGON, leftSocket=BLUE PENTAGON, rightSocket=BLUE PENTAGON, data=---------------------
id=9, plug=BLUE PENTAGON, leftSocket=BLACK SQUARE, rightSocket=WHITE TRIANGLE, data=-------------3-------
id=10, plug=BLACK SQUARE, leftSocket=BLUE SQUARE, rightSocket=BLUE TRIANGLE, data=--------3------------
id=11, plug=BLUE CIRCLE, leftSocket=RED CIRCLE, rightSocket=GREEN HEXAGON, data=--------3------------
id=12, plug=RED CIRCLE, leftSocket=BLACK TRIANGLE, rightSocket=RED PENTAGON, data=-----------3---------
id=13, plug=BLUE SQUARE, leftSocket=GREEN HEXAGON, rightSocket=GREEN PENTAGON, data=---------3-----------
id=14, plug=WHITE TRIANGLE, leftSocket=RED TRIANGLE, rightSocket=RED PENTAGON, data=------------3--------
id=15, plug=RED PENTAGON, leftSocket=BLACK PENTAGON, rightSocket=WHITE HEXAGON, data=-----------3---------
id=16, plug=GREEN HEXAGON, leftSocket=BLACK SQUARE, rightSocket=RED SQUARE, data=-----------3---------
id=17, plug=BLUE CIRCLE, leftSocket=RED CIRCLE, rightSocket=BLACK PENTAGON, data=-------------3-------
id=18, plug=BLUE TRIANGLE, leftSocket=BLUE PENTAGON, rightSocket=RED HEXAGON, data=-------------3-------
id=19, plug=RED SQUARE, leftSocket=BLACK PENTAGON, rightSocket=RED SQUARE, data=---------3-----------
id=20, plug=BLUE PENTAGON, leftSocket=WHITE PENTAGON, rightSocket=WHITE HEXAGON, data=---------------------
id=21, plug=BLACK SQUARE, leftSocket=WHITE CIRCLE, rightSocket=BLACK TRIANGLE, data=-----------3---------
id=22, plug=BLUE TRIANGLE, leftSocket=BLACK TRIANGLE, rightSocket=RED PENTAGON, data=-----------3---------
id=23, plug=BLACK TRIANGLE, leftSocket=BLUE TRIANGLE, rightSocket=BLUE CIRCLE, data=-----------3---------
id=24, plug=RED PENTAGON, leftSocket=BLACK TRIANGLE, rightSocket=BLACK TRIANGLE, data=-----------3---------
id=25, plug=RED TRIANGLE, leftSocket=BLUE HEXAGON, rightSocket=WHITE HEXAGON, data=------------3--------
id=26, plug=BLACK PENTAGON, leftSocket=BLACK SQUARE, rightSocket=BLUE CIRCLE, data=--------3------------
id=27, plug=GREEN HEXAGON, leftSocket=BLACK SQUARE, rightSocket=GREEN SQUARE, data=---------3-----------
id=28, plug=BLACK TRIANGLE, leftSocket=WHITE TRIANGLE, rightSocket=GREEN SQUARE, data=-----------3---------
id=29, plug=WHITE TRIANGLE, leftSocket=WHITE PENTAGON, rightSocket=BLACK SQUARE, data=--------3------------
