id=1, plug=CYAN OCTAGON, leftSocket=MAGENTA CIRCLE, rightSocket=WHITE CIRCLE, data=------3-3----2-2-----
id=2, plug=WHITE PENTAGON, leftSocket=GREEN TRIANGLE, rightSocket=WHITE DIAMOND, data=---------------------
id=3, plug=GREEN SQUARE, leftSocket=CYAN TRIANGLE, rightSocket=CYAN HEXAGON, data=1--------------------
id=4, plug=CYAN DIAMOND, leftSocket=RED HEXAGON, rightSocket=CYAN TRIANGLE, data=---------------------
id=5, plug=WHITE OCTAGON, leftSocket=BLACK STAR, rightSocket=BLACK PENTAGON, data=-----3-3----2-2-----1
id=6, plug=RED TRIANGLE, leftSocket=GREEN OCTAGON, rightSocket=CYAN HEXAGON, data=---33-----22---------
id=7, plug=BLACK HEXAGON, leftSocket=CYAN SQUARE, rightSocket=WHITE HEXAGON, data=---33-----22--------1
id=8, plug=GREEN DIAMOND, leftSocket=YELLOW OCTAGON, rightSocket=YELLOW OCTAGON, data=--------------------1
id=9, plug=WHITE STAR, leftSocket=YELLOW STAR, rightSocket=BLACK OCTAGON, data=1--33-----22---------
id=10, plug=CYAN DIAMOND, leftSocket=GREEN SQUARE, rightSocket=WHITE HEXAGON, data=1--------------------
id=11, plug=YELLOW SQUARE, leftSocket=GREEN TRIANGLE, rightSocket=GREEN PENTAGON, data=---------------------
id=12, plug=GREEN HEXAGON, leftSocket=BLUE CIRCLE, rightSocket=CYAN DIAMOND, data=--------------------1
id=13, plug=CYAN CIRCLE, leftSocket=GREEN OCTAGON, rightSocket=YELLOW SQUARE, data=1--------------------
id=14, plug=GREEN HEXAGON, leftSocket=MAGENTA PENTAGON, rightSocket=BLUE CIRCLE, data=---------------------
id=15, plug=WHITE TRIANGLE, leftSocket=GREEN PENTAGON, rightSocket=MAGENTA CIRCLE, data=---------------------
id=16, plug=BLACK TRIANGLE, leftSocket=BLACK PENTAGON, rightSocket=WHITE CIRCLE, data=------3-3----2-2----1
id=17, plug=BLACK HEXAGON, leftSocket=BLUE OCTAGON, rightSocket=MAGENTA SQUARE, data=---------------------
id=18, plug=WHITE STAR, leftSocket=MAGENTA PENTAGON, rightSocket=BLUE CIRCLE, data=--------------------1
id=19, plug=YELLOW PENTAGON, leftSocket=WHITE PENTAGON, rightSocket=GREEN PENTAGON, data=---------------------
id=20, plug=GREEN OCTAGON, leftSocket=MAGENTA SQUARE, rightSocket=BLUE STAR, data=-----3------2--------
id=21, plug=BLUE STAR, leftSocket=BLUE PENTAGON, rightSocket=YELLOW TRIANGLE, data=-----3-3----2-2-----1
id=22, plug=MAGENTA CIRCLE, leftSocket=MAGENTA CIRCLE, rightSocket=BLUE PENTAGON, data=-----3------2-------1
id=23, plug=WHITE OCTAGON, leftSocket=RED PENTAGON, rightSocket=RED DIAMOND, data=---------------------
id=24, plug=BLUE DIAMOND, leftSocket=GREEN PENTAGON, rightSocket=GREEN PENTAGON, data=-------3-3----2-2----
id=25, plug=BLUE CIRCLE, leftSocket=YELLOW HEXAGON, rightSocket=YELLOW STAR, data=----3------2--------1
id=26, plug=MAGENTA DIAMOND, leftSocket=MAGENTA PENTAGON, rightSocket=BLACK STAR, data=1---3-3----2-2-------
id=27, plug=BLUE SQUARE, leftSocket=GREEN CIRCLE, rightSocket=CYAN DIAMOND, data=1------3------2------
id=28, plug=MAGENTA OCTAGON, leftSocket=BLUE PENTAGON, rightSocket=GREEN SQUARE, data=--------------------1
id=29, plug=GREEN STAR, leftSocket=RED HEXAGON, rightSocket=GREEN HEXAGON, data=--------------------1
id=30, plug=MAGENTA PENTAGON, leftSocket=BLACK HEXAGON, rightSocket=WHITE STAR, data=---------3-3----2-2-1
id=31, plug=GREEN TRIANGLE, leftSocket=BLUE HEXAGON, rightSocket=CYAN OCTAGON, data=1------3-3----2-2----
id=32, plug=GREEN TRIANGLE, leftSocket=MAGENTA CIRCLE, rightSocket=RED TRIANGLE, data=--------------------1
id=33, plug=RED PENTAGON, leftSocket=CYAN OCTAGON, rightSocket=BLACK TRIANGLE, data=1--------------------
id=34, plug=BLACK OCTAGON, leftSocket=CYAN DIAMOND, rightSocket=MAGENTA PENTAGON, data=-----3------2-------1
id=35, plug=BLACK CIRCLE, leftSocket=CYAN TRIANGLE, rightSocket=WHITE TRIANGLE, data=------3-3----2-2-----
id=36, plug=RED DIAMOND, leftSocket=RED STAR, rightSocket=BLACK HEXAGON, data=--------------------1
id=37, plug=YELLOW DIAMOND, leftSocket=GREEN TRIANGLE, rightSocket=MAGENTA HEXAGON, data=---------------------
id=38, plug=GREEN SQUARE, leftSocket=CYAN PENTAGON, rightSocket=MAGENTA TRIANGLE, data=1--------------------
id=39, plug=CYAN HEXAGON, leftSocket=CYAN STAR, rightSocket=BLACK STAR, data=----3------2--------1
id=40, plug=YELLOW HEXAGON, leftSocket=MAGENTA PENTAGON, rightSocket=BLACK TRIANGLE, data=--------------------1
id=41, plug=CYAN HEXAGON, leftSocket=RED PENTAGON, rightSocket=WHITE TRIANGLE, data=---------------------
id=42, plug=MAGENTA PENTAGON, leftSocket=BLACK SQUARE, rightSocket=GREEN OCTAGON, data=--------------------1
id=43, plug=CYAN OCTAGON, leftSocket=CYAN SQUARE, rightSocket=WHITE HEXAGON, data=1--------------------
id=44, plug=MAGENTA CIRCLE, leftSocket=MAGENTA DIAMOND, rightSocket=GREEN CIRCLE, data=-----3------2--------
id=45, plug=BLUE STAR, leftSocket=WHITE OCTAGON, rightSocket=BLUE TRIANGLE, data=------3--3---2--2----
id=46, plug=BLACK PENTAGON, leftSocket=BLACK TRIANGLE, rightSocket=BLACK PENTAGON, data=------3-3----2-2-----
id=47, plug=WHITE HEXAGON, leftSocket=RED TRIANGLE, rightSocket=WHITE CIRCLE, data=------3--3---2--2---1
id=48, plug=MAGENTA SQUARE, leftSocket=BLUE SQUARE, rightSocket=YELLOW PENTAGON, data=---------------------
id=49, plug=GREEN DIAMOND, leftSocket=YELLOW DIAMOND, rightSocket=RED STAR, data=1------3------2------
id=50, plug=RED DIAMOND, leftSocket=GREEN CIRCLE, rightSocket=YELLOW SQUARE, data=-1-----------------1-
id=51, plug=WHITE STAR, leftSocket=MAGENTA PENTAGON, rightSocket=GREEN STAR, data=1--------------------
id=52, plug=MAGENTA SQUARE, leftSocket=CYAN CIRCLE, rightSocket=BLUE HEXAGON, data=---------------------
id=53, plug=BLACK SQUARE, leftSocket=WHITE OCTAGON, rightSocket=YELLOW STAR, data=1-----3-3----2-2-----
id=54, plug=RED HEXAGON, leftSocket=CYAN CIRCLE, rightSocket=RED CIRCLE, data=-----3------2--------
id=55, plug=CYAN OCTAGON, leftSocket=RED STAR, rightSocket=GREEN PENTAGON, data=1-------------------1
id=56, plug=GREEN OCTAGON, leftSocket=YELLOW TRIANGLE, rightSocket=GREEN TRIANGLE, data=--------------------1
id=57, plug=WHITE OCTAGON, leftSocket=BLUE SQUARE, rightSocket=MAGENTA DIAMOND, data=--------------------1
id=58, plug=YELLOW STAR, leftSocket=WHITE HEXAGON, rightSocket=WHITE HEXAGON, data=-----3-3----2-2-----1
id=59, plug=YELLOW STAR, leftSocket=GREEN DIAMOND, rightSocket=RED TRIANGLE, data=-------------------1-
id=60, plug=WHITE HEXAGON, leftSocket=YELLOW DIAMOND, rightSocket=RED SQUARE, data=---------------------
id=61, plug=MAGENTA STAR, leftSocket=BLACK CIRCLE, rightSocket=WHITE HEXAGON, data=---------------------
id=62, plug=CYAN STAR, leftSocket=YELLOW STAR, rightSocket=BLUE STAR, data=1------3------2------
id=63, plug=BLACK STAR, leftSocket=BLACK STAR, rightSocket=RED CIRCLE, data=----3------2--------1
id=64, plug=BLUE CIRCLE, leftSocket=BLUE HEXAGON, rightSocket=RED SQUARE, data=-----3------2-------1
id=65, plug=RED HEXAGON, leftSocket=WHITE TRIANGLE, rightSocket=RED TRIANGLE, data=---------------------
id=66, plug=RED SQUARE, leftSocket=BLACK TRIANGLE, rightSocket=CYAN HEXAGON, data=1--------------------
id=67, plug=GREEN STAR, leftSocket=GREEN OCTAGON, rightSocket=YELLOW OCTAGON, data=1-------------------1
id=68, plug=WHITE SQUARE, leftSocket=MAGENTA HEXAGON, rightSocket=GREEN STAR, data=---33-----22--------1
id=69, plug=GREEN SQUARE, leftSocket=MAGENTA HEXAGON, rightSocket=BLUE TRIANGLE, data=--------------------1
id=70, plug=YELLOW SQUARE, leftSocket=MAGENTA SQUARE, rightSocket=YELLOW TRIANGLE, data=1--------------------
id=71, plug=BLACK CIRCLE, leftSocket=YELLOW PENTAGON, rightSocket=MAGENTA HEXAGON, data=---------------------
id=72, plug=BLUE STAR, leftSocket=WHITE HEXAGON, rightSocket=RED STAR, data=1--33-----22---------
id=73, plug=MAGENTA HEXAGON, leftSocket=MAGENTA STAR, rightSocket=YELLOW HEXAGON, data=------3-3----2-2-----
id=74, plug=CYAN DIAMOND, leftSocket=MAGENTA TRIANGLE, rightSocket=CYAN STAR, data=---------------------
id=75, plug=YELLOW CIRCLE, leftSocket=RED TRIANGLE, rightSocket=RED OCTAGON, data=---33-----22---------
id=76, plug=BLUE TRIANGLE, leftSocket=GREEN HEXAGON, rightSocket=RED OCTAGON, data=---------------------
id=77, plug=BLACK DIAMOND, leftSocket=CYAN SQUARE, rightSocket=MAGENTA DIAMOND, data=1-------------------1
id=78, plug=GREEN PENTAGON, leftSocket=RED OCTAGON, rightSocket=YELLOW PENTAGON, data=------3-3----2-2-----
id=79, plug=CYAN PENTAGON, leftSocket=YELLOW HEXAGON, rightSocket=MAGENTA CIRCLE, data=--------------------1
id=80, plug=WHITE CIRCLE, leftSocket=WHITE SQUARE, rightSocket=MAGENTA SQUARE, data=1---3-3----2-2-------
id=81, plug=YELLOW OCTAGON, leftSocket=GREEN DIAMOND, rightSocket=YELLOW DIAMOND, data=---------------------
id=82, plug=RED HEXAGON, leftSocket=BLUE STAR, rightSocket=MAGENTA CIRCLE, data=--------------------1
id=83, plug=RED OCTAGON, leftSocket=RED STAR, rightSocket=MAGENTA CIRCLE, data=--------------------1
id=84, plug=YELLOW CIRCLE, leftSocket=YELLOW SQUARE, rightSocket=BLACK SQUARE, data=1--------------------
id=85, plug=BLUE DIAMOND, leftSocket=BLUE STAR, rightSocket=BLUE TRIANGLE, data=---------------------
id=86, plug=RED TRIANGLE, leftSocket=GREEN CIRCLE, rightSocket=BLUE CIRCLE, data=-----3-3----2-2-----1
